timestamp,contact_1,contact_2,contact_3,contact_4
1742312693.6326973,57,18,18,53
1742312693.6344738,57,18,18,53
1742312693.6364977,57,18,18,53
1742312693.6385057,57,18,18,53
1742312693.6405194,57,18,18,52
1742312693.6425211,57,18,18,52
1742312693.6447804,56,18,18,52
1742312693.6464927,56,18,18,51
1742312693.648521,55,18,18,51
1742312693.6504948,55,18,18,51
1742312693.6526625,55,18,18,50
1742312693.6546006,55,18,18,50
1742312693.6564672,53,18,18,50
1742312693.6585314,53,18,18,50
1742312693.6604626,53,18,18,50
1742312693.662459,52,18,18,50
1742312693.664456,52,18,18,50
1742312693.6664746,52,18,18,50
1742312693.668541,50,18,18,50
1742312693.6704915,50,18,18,50
1742312693.6725264,50,18,18,50
1742312693.6745024,50,18,18,50
1742312693.6764948,50,18,18,49
1742312693.6784933,50,18,18,49
1742312693.6805258,49,18,18,49
1742312693.682489,49,18,18,49
1742312693.684484,49,18,18,49
1742312693.6913555,50,18,18,50
1742312693.692478,50,18,18,50
1742312693.694779,50,18,18,50
1742312693.6968005,50,18,18,50
1742312693.698488,51,18,18,50
1742312693.7004697,51,18,18,50
1742312693.7025125,51,18,18,50
1742312693.704528,51,18,18,50
1742312693.7065275,51,18,18,50
1742312693.7084913,51,18,18,50
1742312693.7104793,53,18,18,50
1742312693.712466,53,18,18,50
1742312693.7144759,53,18,18,50
1742312693.7164738,54,18,18,50
1742312693.7184975,54,18,18,51
1742312693.7204843,54,18,18,51
1742312693.7224777,54,18,18,50
1742312693.7244797,54,18,18,50
1742312693.7264957,54,18,18,50
1742312693.7284882,54,18,18,50
1742312693.7305148,54,18,18,50
1742312693.7324834,54,18,18,50
1742312693.734498,53,18,18,49
1742312693.7364926,53,18,18,49
1742312693.7384832,53,18,18,49
1742312693.7404954,52,18,18,50
1742312693.7424965,52,18,18,50
1742312693.7445107,52,18,18,50
1742312693.7465024,50,26,18,53
1742312693.7485158,50,26,18,53
1742312693.7505245,50,54,18,53
1742312693.7525077,49,54,33,53
1742312693.7544832,49,54,33,53
1742312693.7564623,49,66,60,53
1742312693.758468,48,66,60,53
1742312693.7604604,48,66,60,52
1742312693.7624743,48,66,66,52
1742312693.7645047,41,68,66,44
1742312693.7664967,41,68,66,44
1742312693.7685037,41,57,66,44
1742312693.770505,26,57,68,23
1742312693.7725346,26,57,68,23
1742312693.7744899,26,57,68,23
1742312693.7764955,19,53,57,17
1742312693.7784855,19,53,57,17
1742312693.7804878,19,53,57,17
1742312693.7824764,17,54,57,17
1742312693.7844875,17,54,57,16
1742312693.7864819,17,48,55,16
1742312693.7885013,18,48,55,16
1742312693.7904973,18,48,55,16
1742312693.7924728,18,42,55,16
1742312693.7945123,18,42,53,16
1742312693.7982066,18,43,52,16
1742312693.7984986,18,43,52,16
1742312693.8004954,17,43,52,16
1742312693.8024921,17,43,52,16
1742312693.8044817,17,44,52,16
1742312693.806502,18,44,52,16
1742312693.8084736,17,43,52,16
1742312693.8104846,17,43,52,16
1742312693.8124752,17,43,52,16
1742312693.8144817,17,43,52,16
1742312693.8164773,17,43,52,16
1742312693.8184814,17,42,53,16
1742312693.820462,17,42,53,16
1742312693.8224626,17,42,53,16
1742312693.8245077,18,42,54,16
1742312693.8264966,18,42,54,16
1742312693.8285153,18,43,55,16
1742312693.8305597,18,43,55,16
1742312693.8325093,18,43,55,16
1742312693.834488,18,43,55,16
